datasheet_id,ability_id,type
1,8346,Core
1,3676,Faction
1,,Datasheet
1,,Datasheet
2,8346,Core
2,3676,Faction
2,,Datasheet
2,,Datasheet
3,8346,Core
3,3676,Faction
3,,Datasheet
3,,Datasheet
4,8339,Core
4,8346,Core
4,3676,Faction
4,,Datasheet
4,,Datasheet
6,8346,Core
6,3676,Faction
6,,Datasheet
6,,Datasheet
6,,Wargear
6,,Wargear
7,8346,Core
7,3676,Faction
7,,Wargear
7,,Datasheet
7,,Datasheet
8,8346,Core
8,3676,Faction
8,,Datasheet
8,,Datasheet
8,,Special (правая колонка)
9,8346,Core
9,3676,Faction
9,,Datasheet
9,,Datasheet
10,8343,Core
10,8338,Core
10,8346,Core
10,3676,Faction
10,,Datasheet
10,,Datasheet
11,8345,Core
11,8346,Core
11,8336,Core
11,8337,Core
11,3676,Faction
11,,Datasheet
11,,Datasheet
12,8346,Core
12,3676,Faction
12,,Datasheet
12,,Datasheet
13,8346,Core
13,3676,Faction
13,,Wargear
13,,Datasheet
13,,Datasheet
14,8346,Core
14,3676,Faction
14,,Datasheet
14,,Datasheet
15,8338,Core
15,8346,Core
15,3676,Faction
15,,Datasheet
15,,Datasheet
16,3676,Faction
16,,Datasheet
16,,Special (правая колонка)
17,3676,Faction
17,,Datasheet
17,,Datasheet
19,3676,Faction
19,,Datasheet
20,3676,Faction
20,,Datasheet
20,,Datasheet
20,,Wargear
20,,Fortification (левая колонка)
21,3676,Faction
21,,Datasheet
21,,Wargear
22,8346,Core
22,3676,Faction
22,,Datasheet
22,,Datasheet
23,3676,Faction
23,,Datasheet
23,,Special (правая колонка)
24,3676,Faction
24,,Datasheet
25,8345,Core
25,8337,Core
25,3676,Faction
25,,Wargear
25,,Wargear
25,,Datasheet
25,,Fortification (левая колонка)
26,8339,Core
26,8334,Core
26,3676,Faction
26,,Datasheet
27,8343,Core
27,3676,Faction
27,,Datasheet
28,8343,Core
28,3676,Faction
28,,Datasheet
29,8339,Core
29,3676,Faction
29,,Datasheet
30,8339,Core
30,3676,Faction
30,,Datasheet
31,8339,Core
31,3676,Faction
31,,Datasheet
32,8339,Core
32,3676,Faction
32,,Datasheet
32,,Wargear
33,3676,Faction
33,,Datasheet
34,3676,Faction
34,,Datasheet
34,,Special (правая колонка)
35,3676,Faction
35,,Datasheet
35,,Special (правая колонка)
36,3676,Faction
36,,Datasheet
36,,Special (правая колонка)
37,3676,Faction
37,,Datasheet
37,,Special (правая колонка)
38,3676,Faction
38,,Datasheet
38,,Wargear profile
39,8339,Core
39,8334,Core
39,3676,Faction
39,,Datasheet
39,,Wargear
40,8339,Core
40,3676,Faction
40,,Datasheet
40,,Wargear profile
41,8339,Core
41,3676,Faction
41,,Datasheet
42,8339,Core
42,3676,Faction
42,,Datasheet
42,,Datasheet
43,8339,Core
43,3676,Faction
43,,Datasheet
43,,Datasheet
44,3676,Faction
44,,Datasheet
45,3676,Faction
45,,Datasheet
45,,Wargear
46,8339,Core
46,3676,Faction
46,,Datasheet
46,,Datasheet
49,8339,Core
49,3676,Faction
49,,Datasheet
50,8339,Core
50,3676,Faction
50,,Datasheet
51,8339,Core
51,8334,Core
51,3676,Faction
51,,Datasheet
52,8339,Core
52,3676,Faction
52,,Datasheet
52,,Datasheet
53,8339,Core
53,3676,Faction
53,,Datasheet
54,8339,Core
54,8334,Core
54,3676,Faction
54,,Datasheet
55,8339,Core
55,8334,Core
55,3676,Faction
55,,Datasheet
56,8339,Core
56,3676,Faction
56,,Datasheet
57,8339,Core
57,8343,Core
57,8334,Core
57,3676,Faction
57,,Wargear
57,,Datasheet
59,8339,Core
59,8334,Core
59,3676,Faction
59,,Datasheet
59,,Datasheet
60,8346,Core
60,8350,Faction
60,,Datasheet
60,,Datasheet
61,8350,Faction
61,,Wargear
61,,Datasheet
63,8346,Core
63,8350,Faction
63,,Datasheet
63,,Datasheet
64,8343,Core
64,8350,Faction
64,,Wargear
64,,Datasheet
65,8339,Core
65,8350,Faction
65,,Datasheet
65,,Wargear profile
66,8339,Core
66,8350,Faction
66,,Datasheet
66,,Wargear profile
67,8339,Core
67,8350,Faction
67,,Datasheet
67,,Datasheet
67,,Wargear profile
68,8343,Core
68,8350,Faction
68,,Datasheet
70,8350,Faction
70,,Datasheet
71,8350,Faction
71,,Datasheet
72,8339,Core
72,8342,Core
72,8350,Faction
72,,Datasheet
73,8346,Core
73,8350,Faction
73,,Wargear
73,,Datasheet
73,,Datasheet
76,8338,Core
76,8345,Core
76,8336,Core
76,8337,Core
76,8350,Faction
76,,Datasheet
76,,Datasheet
76,,Special (правая колонка)
79,8343,Core
79,8346,Core
79,8350,Faction
79,,Datasheet
79,,Datasheet
81,8346,Core
81,8350,Faction
81,,Datasheet
81,,Datasheet
83,8343,Core
83,8346,Core
83,8350,Faction
83,,Datasheet
83,,Datasheet
83,,Wargear
84,8339,Core
84,8350,Faction
84,,Datasheet
85,8339,Core
85,8350,Faction
85,,Datasheet
85,,Datasheet
85,,Wargear profile
86,8350,Faction
86,,Datasheet
87,8339,Core
87,8343,Core
87,8350,Faction
87,,Datasheet
87,,Datasheet
87,,Datasheet
87,,Без заголовка
91,8339,Core
91,8350,Faction
91,,Datasheet
92,8339,Core
92,8350,Faction
92,,Datasheet
92,,Wargear profile
93,8339,Core
93,8350,Faction
93,,Datasheet
94,8346,Core
94,8350,Faction
94,,Datasheet
94,,Datasheet
95,8350,Faction
95,,Datasheet
95,,Datasheet
95,,Datasheet
95,,Fortification (левая колонка)
96,8339,Core
96,8350,Faction
96,,Datasheet
96,,Datasheet
96,,Wargear profile
97,8339,Core
97,8350,Faction
97,,Datasheet
97,,Datasheet
97,,Datasheet
98,8350,Faction
98,,Datasheet
99,8339,Core
99,,Datasheet
103,8350,Faction
103,,Datasheet
104,8343,Core
104,8350,Faction
104,,Datasheet
104,,Wargear
104,,Special (правая колонка)
107,8339,Core
107,8343,Core
107,8350,Faction
107,,Datasheet
107,,Wargear profile
110,8350,Faction
110,,Datasheet
111,8339,Core
111,8350,Faction
111,,Datasheet
112,8343,Core
112,8346,Core
112,8350,Faction
112,,Datasheet
112,,Datasheet
113,8339,Core
113,8342,Core
113,8350,Faction
113,,Datasheet
114,8339,Core
114,8343,Core
114,8350,Faction
114,,Datasheet
115,8343,Core
115,8346,Core
115,8350,Faction
115,,Datasheet
115,,Datasheet
115,,Wargear
116,8350,Faction
116,,Datasheet
116,,Special (правая колонка)
117,8339,Core
117,8350,Faction
117,,Datasheet
118,8343,Core
118,8350,Faction
118,,Datasheet
118,,Datasheet
118,,Wargear
119,8345,Core
119,8346,Core
119,8350,Faction
119,,Datasheet
119,,Datasheet
120,8339,Core
120,8350,Faction
120,,Datasheet
121,8346,Core
121,8350,Faction
121,,Datasheet
121,,Datasheet
122,8339,Core
122,8343,Core
122,8350,Faction
122,,Datasheet
123,8339,Core
123,8350,Faction
123,,Datasheet
123,,Wargear profile
124,8339,Core
124,8343,Core
124,8350,Faction
124,,Datasheet
125,8343,Core
125,8350,Faction
125,,Datasheet
126,8350,Faction
126,,Datasheet
127,8346,Core
127,8350,Faction
127,,Datasheet
127,,Datasheet
127,,Datasheet
127,,Fortification (левая колонка)
128,8345,Core
128,8350,Faction
128,,Datasheet
128,,Wargear
128,,Wargear
129,8339,Core
129,8350,Faction
129,,Datasheet
129,,Wargear profile
131,8339,Core
131,8350,Faction
131,,Datasheet
131,,Wargear profile
132,8339,Core
132,8334,Core
132,8350,Faction
132,,Datasheet
134,,Datasheet
134,,Special (правая колонка)
135,8343,Core
135,8346,Core
135,8350,Faction
135,,Datasheet
135,,Datasheet
136,8339,Core
136,8350,Faction
136,,Datasheet
137,8344,Core
137,8350,Faction
137,,Datasheet
138,8350,Faction
138,,Datasheet
138,,Datasheet
138,,Datasheet
138,,Special (правая колонка)
138,,Primarch
138,,Primarch
138,,Primarch
139,8339,Core
139,8342,Core
139,8350,Faction
139,,Wargear
139,,Datasheet
140,8346,Core
140,8350,Faction
140,,Datasheet
140,,Datasheet
140,,Datasheet
146,8339,Core
146,8350,Faction
146,,Datasheet
146,,Wargear profile
147,8343,Core
147,8350,Faction
147,,Datasheet
147,,Wargear
148,8346,Core
148,8350,Faction
148,,Datasheet
148,,Datasheet
151,8343,Core
151,8346,Core
151,8350,Faction
151,,Datasheet
151,,Datasheet
152,8346,Core
152,8350,Faction
152,,Datasheet
152,,Datasheet
152,,Special (правая колонка)
153,8346,Core
153,8338,Core
153,8350,Faction
153,,Datasheet
153,,Datasheet
153,,Datasheet
153,,Special (правая колонка)
154,8339,Core
154,8350,Faction
154,,Datasheet
154,,Datasheet
155,8338,Core
155,8340,Core
155,8336,Core
155,8350,Faction
155,,Datasheet
155,,Datasheet
156,8343,Core
156,8340,Core
156,8336,Core
156,8350,Faction
156,,Datasheet
156,,Datasheet
157,8343,Core
157,8346,Core
157,8350,Faction
157,,Datasheet
157,,Datasheet
158,8346,Core
158,8350,Faction
158,,Datasheet
158,,Datasheet
159,8346,Core
159,8350,Faction
159,,Datasheet
159,,Datasheet
160,8346,Core
160,8350,Faction
160,,Datasheet
160,,Datasheet
164,8343,Core
164,8338,Core
164,8346,Core
164,8350,Faction
164,,Datasheet
164,,Datasheet
165,8343,Core
165,8350,Faction
165,,Datasheet
165,,Datasheet
165,,Wargear
165,,Special (правая колонка)
166,8339,Core
166,8338,Core
166,8350,Faction
166,,Datasheet
166,,Datasheet
167,8339,Core
167,8350,Faction
167,,Datasheet
167,,Wargear
168,8339,Core
168,8350,Faction
168,,Datasheet
168,,Wargear profile
169,8346,Core
169,8350,Faction
169,,Datasheet
169,,Datasheet
169,,Fortification (левая колонка)
218,8346,Core
218,8350,Faction
218,,Wargear
218,,Datasheet
218,,Datasheet
219,8343,Core
219,8346,Core
219,8350,Faction
219,,Datasheet
219,,Datasheet
225,8346,Core
225,8350,Faction
225,,Datasheet
225,,Datasheet
226,8346,Core
226,8350,Faction
226,,Datasheet
226,,Datasheet
226,,Wargear
230,8343,Core
230,8350,Faction
230,,Datasheet
230,,Datasheet
230,,Special (правая колонка)
230,,Wargear
231,8343,Core
231,8350,Faction
231,,Datasheet
231,,Datasheet
231,,Wargear
231,,Special (правая колонка)
238,8339,Core
238,8350,Faction
238,,Datasheet
239,8339,Core
239,8342,Core
239,8350,Faction
239,,Datasheet
240,8339,Core
240,8342,Core
240,8350,Faction
240,,Datasheet
241,8350,Faction
241,,Datasheet
241,,Special (правая колонка)
242,8339,Core
242,8350,Faction
242,,Datasheet
243,8537,Faction
243,8339,Core
243,8334,Core
243,,Datasheet
243,,Datasheet
243,,Datasheet
243,,Fortification (левая колонка)
282,8343,Core
282,8346,Core
282,8350,Faction
282,,Datasheet
282,,Datasheet
282,,Fortification (левая колонка)
285,8346,Core
285,8350,Faction
285,,Datasheet
285,,Datasheet
292,8346,Core
292,8350,Faction
292,,Datasheet
