datasheet_id,detachment_ability_id
1,9990
1,8884
1,9622
1,9614
1,8365
2,9614
2,9622
2,9990
2,8365
2,8884
3,8884
3,8871
3,8365
4,9990
4,9614
4,8365
6,9794
6,9614
6,8875
6,9622
6,9990
6,8365
7,8871
7,8365
7,9614
8,8884
8,9622
8,9614
8,9990
8,8365
9,9990
9,8365
10,8365
10,9990
11,8365
11,9990
11,9614
12,9990
12,9794
12,9614
12,8875
12,8365
13,9614
13,8365
13,9990
14,8365
14,8871
15,9614
15,8365
15,9990
16,9990
16,8880
16,9614
16,8365
17,8365
17,9990
19,9614
19,9990
19,8365
20,8365
20,9990
21,9614
21,9622
21,8365
21,9990
21,8884
22,8365
22,9990
23,8871
23,8365
24,8365
24,9990
24,8884
24,9622
25,8365
25,9614
25,9990
26,8365
27,9990
27,8365
27,9614
28,8365
28,8871
29,8365
29,8871
30,8871
30,8365
31,8871
31,8365
32,8365
32,8871
33,8871
33,8365
34,8365
34,8871
35,8871
35,8365
36,8871
36,8365
37,9794
37,8875
37,8365
38,8875
38,9794
38,8365
39,8365
40,9990
40,8365
40,9794
40,8875
41,9794
41,8365
41,9990
41,8875
42,9794
42,8875
42,9990
42,8365
43,9990
43,8875
43,9794
43,8365
44,9990
44,8365
45,8365
45,9614
45,9990
46,8365
46,8875
46,9794
46,9990
49,8875
49,8365
49,9794
50,8875
50,9794
50,8365
51,8365
52,9990
52,9794
52,8875
52,8365
53,8365
54,8365
55,8365
56,8365
57,8365
57,8871
59,8365
60,8485
60,8521
60,8489
60,8493
60,10399
60,9732
60,9842
60,8770
60,8777
60,10367
60,10463
60,10154
60,9850
60,10459
60,10391
60,9242
60,9834
60,10268
60,8355
60,8374
60,8473
60,8477
60,8481
61,8489
61,9850
61,8485
61,8481
61,10399
61,10154
61,8777
61,8770
61,8374
61,8355
61,8477
61,9834
61,8473
61,10367
61,10459
61,10463
61,9842
61,9732
61,10391
61,8493
61,10268
63,10154
63,9842
63,10268
63,8770
63,8777
63,10391
63,9732
63,8493
63,8481
63,8489
63,8485
63,8521
63,9834
63,10399
63,8355
63,8477
63,8374
63,8473
63,10463
63,10367
63,10459
64,9732
64,8489
64,8485
64,8481
64,8777
64,8477
64,8473
64,10154
64,10463
64,8374
64,10391
64,10367
64,8770
64,10268
64,8355
64,8493
64,9842
64,10459
64,10399
64,9850
64,9834
64,9189
65,8489
65,8521
65,10391
65,10268
65,9842
65,10463
65,9732
65,10367
65,9834
65,8770
65,8355
65,8374
65,10399
65,10459
65,8493
65,8473
65,8777
65,8477
65,8481
65,8485
66,10399
66,8770
66,8493
66,8777
66,9732
66,8485
66,8489
66,10459
66,8481
66,8477
66,10391
66,8521
66,8473
66,8374
66,9842
66,8355
66,9834
66,10268
66,10367
66,10463
67,8770
67,10268
67,8355
67,10367
67,9842
67,9732
67,8777
67,8477
67,10391
67,8481
67,10459
67,8521
67,10463
67,8485
67,8493
67,8489
67,8374
67,9834
67,10399
67,8473
68,9732
68,9842
68,8521
68,9189
68,8770
68,8777
68,10154
68,8473
68,10367
68,8355
68,9850
68,10459
68,8477
68,8374
68,8481
68,10391
68,10463
68,9834
68,8485
68,8489
68,10399
68,8493
68,10268
70,8473
70,8477
70,8481
70,8485
70,8493
70,9732
70,10391
70,9842
70,10268
70,8770
70,8777
70,10154
70,10367
70,8489
70,10399
70,10459
70,10463
70,9850
70,9242
70,9834
70,8355
70,8374
71,9850
71,10154
71,8521
71,8477
71,8493
71,9834
71,8481
71,8374
71,10367
71,8773
71,10399
71,9732
71,8355
71,8485
71,10391
71,8489
71,9842
71,10268
71,8770
71,8777
71,9242
71,10459
71,8473
71,10463
72,8493
72,10399
72,8489
72,9834
72,8481
72,8374
72,8355
72,8473
72,8477
72,10459
72,8777
72,8770
72,10463
72,10391
72,10367
72,10268
72,9842
72,9732
72,8521
72,8485
73,9242
73,8777
73,10463
73,10154
73,8481
73,10367
73,10391
73,8521
73,9850
73,10459
73,8770
73,9842
73,9732
73,8493
73,8489
73,8485
73,8477
73,8473
73,8374
73,8355
73,10268
73,9834
73,10399
76,10463
76,10367
76,10459
76,9242
76,8485
76,10154
76,9842
76,8770
76,8777
76,8481
76,10391
76,8477
76,9732
76,8473
76,8374
76,8355
76,10268
76,9834
76,10399
76,9247
76,8521
76,8489
76,8493
76,9850
79,9834
79,10459
79,10154
79,9850
79,10367
79,8481
79,8777
79,8770
79,9842
79,9732
79,8493
79,8489
79,8485
79,10399
79,8521
79,8473
79,8374
79,8355
79,10268
79,9254
79,10391
79,8477
79,8773
79,10463
79,9784
81,8493
81,9732
81,9842
81,10154
81,9242
81,8770
81,8777
81,9834
81,8473
81,8374
81,8521
81,10367
81,8489
81,8355
81,8485
81,8477
81,10463
81,10459
81,8481
81,9850
81,10399
81,10391
81,10268
83,9850
83,9242
83,9189
83,10391
83,10463
83,10399
83,10154
83,8521
83,9834
83,10268
83,8355
83,8374
83,8473
83,8477
83,8481
83,8485
83,8489
83,8493
83,9732
83,9842
83,8770
83,8777
83,10459
83,10367
84,10459
84,10268
84,9842
84,9732
84,10391
84,9834
84,8493
84,8477
84,8777
84,8473
84,8770
84,8521
84,8374
84,10367
84,8489
84,8485
84,10463
84,8355
84,10399
84,8481
85,10459
85,10399
85,10463
85,8777
85,10391
85,8521
85,8485
85,8770
85,10268
85,9842
85,9732
85,8493
85,8489
85,8481
85,8477
85,8473
85,10367
85,8374
85,8355
85,9834
86,8489
86,10367
86,8374
86,8477
86,8521
86,8355
86,10459
86,9732
86,8473
86,9834
86,10391
86,8777
86,8770
86,10268
86,8485
86,8481
86,10399
86,10463
86,9842
86,8493
87,10391
87,10268
87,8521
87,8473
87,10367
87,9732
87,9842
87,8355
