datasheet_id,line,button,description
1,1,•,This model’s big choppa can be replaced with 1 power klaw.
1,2,•,This model can be equipped with 1 attack squig.
3,1,•,"This model’s killsaw can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big choppa</li><li>1 power klaw</li></ul>"
6,1,•,"This model’s kustom-mega blasta can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 killsaw</li><li>1 kombi-weapon</li><li>1 kustom shoota</li></ul>"
6,2,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 tellyport blasta</li><li>1 kustom force field</li></ul>"
6,3,•,This model can be equipped with 1 grot oiler.
7,1,•,"This model’s slugga can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 shokk attack gun</li><li>1 kustom force field</li><li>1 kombi-weapon</li><li>1 kustom mega-blasta</li><li>1 kustom mega-slugga</li><li>1 rokkit launcha</li><li>1 big choppa</li><li>1 power klaw</li></ul>"
7,2,•,"This model’s choppa can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kombi-weapon</li><li>1 kustom mega-blasta</li><li>1 kustom mega-slugga</li><li>1 rokkit launcha</li><li>1 big choppa</li><li>1 killsaw</li><li>1 power klaw</li></ul>"
9,1,•,None
10,1,•,None
12,1,•,This model’s wrench can be replaced with 1 killsaw.
13,1,•,This model can be equipped with 1 grot orderly.
14,1,•,This model’s power klaw can be replaced with 1 killsaw.
15,1,•,None
16,1,•,The Boss Nob’s big choppa can be replaced with 1 power klaw.
16,2,•,The Boss Nob’s big choppa and slugga can be replaced with 1 kombi-weapon and 1 close combat weapon.
16,3,•,Any number of Boyz can each have their slugga and choppa replaced with 1 shoota and 1 close combat weapon.
16,4,•,"For every 10 models in this unit, 1 Boy’s choppa and slugga can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big shoota and 1 close combat weapon</li><li>1 rokkit launcha and 1 close combat weapon</li></ul>"
19,1,•,"Any number of Spanners can each have their big shoota replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li></ul>"
20,1,•,1 of the Boss Nob’s rokkit pistols can be replaced with 1 smash hammer.
20,2,•,"One Tankbusta can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 pulsa rokkit</li><li>1 additional rokkit launcha</li></ul>"
21,1,•,Any number of models can each have their big choppa replaced with 1 power klaw.
21,2,•,Any number of models can each have their slugga and big choppa replaced with 1 kombi-weapon and 1 close combat weapon.
21,3,•,"For every 5 models in this unit, this unit can be equipped with 1 ammo runt."
22,1,•,None
23,1,•,Any number of models can each be equipped with 1 slugga.
23,2,•,"Any number of models can each have their choppa replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big choppa</li><li>1 killsaw</li><li>1 power klaw</li><li>1 power stabba</li><li>1 slugga</li></ul>"
24,1,•,"Any number of models can each have their kustom shoota and power klaw replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kombi-weapon and 1 power klaw</li><li>1 kombi-weapon and 1 killsaw</li><li>1 kustom shoota and 1 killsaw</li><li>1 killsaw and 1 power klaw</li><li>1 twin killsaw</li></ul>"
25,1,•,"The Boss Nob’s choppa can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big choppa</li><li>1 power klaw</li></ul>"
25,2,•,Up to 2 Kommandos can each have their slugga and choppa replaced with 1 speshul Kommando shoota and 1 close combat weapon.
25,3,•,1 Kommando’s slugga and choppa can be replaced with 1 breacha ram.
25,4,•,1 Kommando’s slugga and choppa can be replaced with 1 burna and 1 close combat weapon.
25,5,•,1 Kommando’s slugga and choppa can be replaced with 1 rokkit launcha and 1 close combat weapon.
25,6,•,This unit can be equipped with 1 bomb squig.
25,7,•,This unit can be equipped with 1 distraction grot.
26,1,•,This model can be equipped with 1 wreckin’ ball.
27,1,•,The Boss Nob’s choppa can be replaced with 1 power klaw.
28,1,•,"For every 3 models in this unit, 1 Deffkopta can have its kopta rokkits replaced with 1 kustom mega-blasta."
29,1,•,This model can be equipped with 1 additional twin supa-shoota.
30,1,•,This model can be equipped with 1 skorcha missile rack.
32,1,•,This model’s twin wazbom mega-kannon can be replaced with 1 twin tellyport mega-blasta.
32,2,•,This model can be equipped with 1 blastajet force field.
32,3,•,This model can be equipped with 1 twin supa-shoota.
33,1,•,"Each Warbiker can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 slugga</li><li>1 choppa</li></ul>"
33,2,•,"The Boss Nob on Warbike can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 slugga</li><li>1 big choppa</li><li>1 power klaw</li></ul>"
34,1,•,Any number of models can each have their twin big shoota replaced with 1 rack of rokkits.
35,1,•,None
36,1,•,Any number of models can each have their twin big shoota replaced with 1 rack of rokkits.
37,1,•,"Any number of models can each have their kannon replaced with one of the following:<ul style=""list-style-type:circle""><li>1 lobba</li><li>1 zzap gun</li></ul>"
38,1,•,"Each model’s smasha gun can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 bubblechukka</li><li>1 kustom mega-kannon</li><li>1 traktor kannon</li></ul>"
39,1,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 kannon</li><li>1 killkannon</li><li>1 zzap gun</li></ul>"
39,2,•,"This model can be equipped with:<ul style=""list-style-type:circle""><li>1 lobba</li></ul>"
39,3,•,This model can be equipped with up to 4 big shootas.
39,4,•,This model’s tracks and wheels can be replaced with 1 deff rolla.
39,5,•,"This model can be equipped with any of the following:<ul style=""list-style-type:circle""><li>1 ’ard case</li><li>1 grabbin’ klaw</li><li>1 wreckin’ ball</li></ul>"
40,1,•,"This model’s big shootas can each be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 dread klaw</li><li>1 kustom-mega blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"
40,2,•,"This model’s dread klaws can each be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big shoota</li><li>1 kustom-mega blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"
41,1,•,"Each Killa Kan’s Kan shoota can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 grotzooka</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"
44,1,•,"Any number of Spanners can each have their big shoota replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li></ul>"
45,1,•,This unit can be equipped with 1 ammo runt.
49,1,•,"Any number of models can each have their big shoota replaced with one of the following:<ul style=""list-style-type:circle""><li>1 grotzooka</li><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"
49,2,•,"For every four models in this unit, one model can be equipped with one of the following in addition to any other weapons:<ul style=""list-style-type:circle""><li>1 Grot tank shoota</li><li>1 grotzooka</li><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"
50,1,•,"This model’s twin big shoota can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin grotzooka</li><li>1 twin kustom mega-blasta</li><li>1 twin rokkit launcha</li><li>1 twin skorcha</li></ul>"
50,2,•,"This model’s twin grotzooka can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin big shoota</li><li>1 twin kustom mega-blasta</li><li>1 twin rokkit launcha</li><li>1 twin skorcha</li></ul>"
51,1,•,This model can be equipped with 1 kannon.
52,1,•,"This model’s killkannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 dread killsaw</li><li>1 dread rippa klaw</li></ul>"
52,2,•,"This model’s dread rippa klaw can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 dread killsaw</li><li>1 killkannon</li></ul>"
53,1,•,This model’s tracks and wheels can be replaced with 1 deff rolla.
53,2,•,This model can be equipped with 1 grabbin’ klaw.
53,3,•,This model can be equipped with 1 wreckin’ ball.
53,4,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 big shoota</li><li>2 big shootas</li><li>1 big shoota and 1 rokkit launcha</li><li>1 rokkit launcha</li><li>2 rokkit launchas</li></ul>"
54,1,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 kannon</li><li>1 supa-kannon</li></ul>"
55,1,•,This model can be equipped with up to 3 big shootas.
56,1,•,This model’s bursta kannon can be replaced with 1 giga shoota.
57,1,•,This model can be equipped with up to 2 big bomms.
57,2,•,"This model’s big shoota can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"
57,3,•,This model’s 2 deffguns can be replaced with 2 rattler kannons.
59,1,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 kannon</li><li>1 supa-kannon</li></ul>"
61,1,•,"The Assault Sergeant’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>"
61,2,•,"The Assault Sergeant’s Astartes chainsword can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"
61,3,•,"The Assault Sergeant can do one of the following:<ul style=""list-style-type:circle""><li>Replace its bolt pistol and Astartes chainsword with 1 twin lightning claws.</li><li>Be equipped with 1 Astartes shield.</li></ul>"
61,4,•,"Up to 2 Assault Marines can each have their bolt pistol and Astartes chainsword replaced with one of the following:<ul style=""list-style-type:circle""><li>1 plasma pistol and 1 Astartes chainsword</li><li>1 flamer and 1 close combat weapon</li><li>1 meltagun and 1 close combat weapon</li><li>1 plasma gun and 1 close combat weapon</li></ul>"
61,5,•,"For every 5 models in this unit, 1 model’s Astartes chainsword can be replaced with 1 eviscerator."
63,1,•,None
64,1,•,"The Assault Sergeant with Jump Pack’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>"
64,2,•,"The Assault Sergeant with Jump Pack’s Astartes chainsword can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"
64,3,•,"The Assault Sergeant with Jump Pack can do one of the following:<ul style=""list-style-type:circle""><li>Replace its bolt pistol and Astartes chainsword with 1 twin lightning claws.</li><li>Be equipped with 1 Astartes shield.</li></ul>"
64,4,•,"Up to 2 Assault Marines with Jump Packs can each have their bolt pistol and Astartes chainsword replaced with one of the following:<ul style=""list-style-type:circle""><li>1 plasma pistol and 1 Astartes chainsword</li><li>1 flamer and 1 close combat weapon</li><li>1 meltagun and 1 close combat weapon</li><li>1 plasma gun and 1 close combat weapon</li></ul>"
64,5,•,"For every 5 models in this unit, 1 model’s Astartes chainsword can be replaced with 1 eviscerator."
65,1,•,This model can be equipped with 1 hunter-killer missile.
65,2,•,This model can be equipped with 1 multi-melta.
65,3,•,This model can be equipped with 1 storm bolter.
66,1,•,This model can be equipped with 1 hunter-killer missile.
66,2,•,This model can be equipped with 1 multi-melta.
66,3,•,This model can be equipped with 1 storm bolter.
67,1,•,This model can be equipped with 1 hunter-killer missile.
67,2,•,This model can be equipped with 1 storm bolter.
67,3,•,This model can be equipped with 1 multi-melta.
67,4,•,This model can be equipped with 1 combi-weapon.
