datasheet_id,line,description
1,1,1 Warboss
2,1,1 Warboss in Mega Armour
3,1,1 Warboss on Warbike
4,1,1 Weirdboy
6,1,1 Big Mek in Mega Armour
7,1,1 Big Mek on Warbike
8,1,"1 Ghazghkull Thraka – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
8,2,1 Makari
9,1,"1 Kaptin Badrukk – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
10,1,"1 Boss Zagstruk – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
11,1,"1 Boss Snikrot – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
12,1,1 Mek
13,1,1 Painboy
14,1,1 Painboy on Warbike
15,1,"1 Mad Dok Grotsnik – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
16,1,1 Boss Nob
16,2,9-19 Boyz
17,1,1 Runtherd and 10 Gretchin
17,2,OR
17,3,2 Runtherds and 20 Gretchin
19,1,1-2 Spanners
19,2,4-8 Burna Boyz
20,1,1 Boss Nob
20,2,5 Tankbustas
21,1,1 Boss Nob
21,2,4-9 Nobz
22,1,1 Nob with Waaagh! Banner
23,1,3 Nobz on Warbikes
24,1,2-6 Meganobz
25,1,1 Boss Nob
25,2,9 Kommandos
26,1,1 Trukk
27,1,1 Boss Nob
27,2,4-9 Stormboyz
28,1,3-6 Deffkoptas
29,1,1 Dakkajet
30,1,1 Burna-bommer
31,1,1 Blitza-bommer
32,1,1 Wazbom Blastajet
33,1,1 Boss Nob on Warbike
33,2,2-5 Warbikers
34,1,1-2 Wartrakks
35,1,1-2 Skorchas
36,1,1-2 Warbuggies
37,1,1-2 Big Gunz
38,1,1-3 Mek Gunz
39,1,1 Battlewagon
40,1,1 Deff Dread
41,1,3-6 Killa Kans
42,1,1 Morkanaut
43,1,1 Gorkanaut
44,1,1-2 Spanners
44,2,4-8 Lootas
45,1,1 Kaptin
45,2,4-9 Flash Gitz
46,1,1 Stompa
49,1,4-8 Grot Tanks
