id,name,type,edition,version,errata_date,errata_link
12,Chaos Space Marines,Codex,10,1.3,12.09.2025 0:00:00,https://assets.warhammer-community.com/eng_17-09_warhammer40000_codex_faqs_and_errata_chaos_space_marines-zwgzfmq8nc-8ipk105s0s.pdf
13,Grey Knights,Codex,10,1,14.09.2025 0:00:00,https://assets.warhammer-community.com/eng_17-09_warhammer40000_codex_faqs_and_errata_grey_knights-7g7nl8udjn-vuaiifpjax.pdf
14,Death Guard,Codex,10,1.1,04.06.2025 0:00:00,https://assets.warhammer-community.com/eng_4-pqkck0qjtu.pdf
15,Adeptus Mechanicus,Codex,10,1.1,16.10.2024 0:00:00,https://assets.warhammer-community.com/warhammer40000_faqs&errata_adeptusmechanicus_eng_16.10.pdf
16,Astra Militarum,Codex,10,1.4,12.09.2025 0:00:00,https://assets.warhammer-community.com/eng_17-09_warhammer40000_codex_faqs_and_errata_astra_militarum-zuq9wcs7bg-rovb1pewqp.pdf
20,Tyranids,Codex,10,1.3,09.07.2025 0:00:00,https://assets.warhammer-community.com/eng_09-07_warhammer40000_codex_faqsanderrata_tyranids-atlfhonwwb-pdbedyunmm.pdf
21,Blood Angels,Codex Supplement,10,1,16.10.2024 0:00:00,https://assets.warhammer-community.com/warhammer40000_faqs&errata_bloodangels_eng_16.10.pdf
23,Dark Angels,Codex Supplement,10,1.4,09.07.2025 0:00:00,https://assets.warhammer-community.com/eng_09-07_warhammer40000_codex_faqsanderrata_dark_angels-rpnv8va4bw-4tbusbi0pn.pdf
24,Adeptus Custodes,Codex,10,1.3,14.05.2025 0:00:00,https://assets.warhammer-community.com/eng_may25_wh40k_codex_faq_adeptus-custodes_v1-3-7mq49b44bb-k8u7oh3bkq.pdf
25,Chaos Daemons,Index,10,,09.07.2025 0:00:00,https://assets.warhammer-community.com/eng_09-07_warhammer40000_index_chaos_daemons-gceuhmmyhy-5mafgovge4.pdf
27,Thousand Sons,Codex,10,1.2,12.09.2025 0:00:00,https://assets.warhammer-community.com/eng_17-09_warhammer40000_codex_faqs_and_errata_thousand_sons-jg4sslhkob-yw6xmqwber.pdf
28,T’au Empire,Codex,10,1.4,09.07.2025 0:00:00,https://assets.warhammer-community.com/eng_09-07_warhammer40000_codex_faqsanderrata_tau_empire-leiskloizy-pfywwtgrol.pdf
29,Necrons,Codex,10,1.4,12.09.2025 0:00:00,https://assets.warhammer-community.com/eng_17-09_warhammer40000_codex_faqs_and_errata_necrons-7obvhb85bf-avotc421uu.pdf
31,Drukhari,Index,10,,19.02.2025 0:00:00,https://assets.warhammer-community.com/eng_warhammer40000_drukhari_army_rule-l2feecgpbo-zhnzcysomu.pdf
34,Imperial Knights,Codex,10,1,12.09.2025 0:00:00,https://assets.warhammer-community.com/eng_17-09_warhammer40000_codex_faqs_and_errata_imperial_knights-cpjabhh92k-5hdzwegedn.pdf
35,Deathwatch,Index,10,,15.01.2025 0:00:00,https://assets.warhammer-community.com/eng_grotmas_advent_index_deathwatch_jan25-3hkhyr4ern-el7g9t2q0t.pdf
